bb_window,bb_std,total_trades,total_return,sharpe_ratio,win_rate,profit_factor,max_drawdown
25,2.5,25,0.0010405496413476189,-12.965759376069553,0.36,4.248469160051258,-0.00010001064219974938
25,1.8,32,0.0008910940646592985,-16.428791215860766,0.25,2.8545913766635422,-0.00014008069982216642
15,2.5,28,0.0007206533540761876,-21.268880787393776,0.32142857142857145,2.8945616333040314,-0.00012001909114577195
15,1.8,54,0.0013010377836254528,-21.90597109137822,0.3333333333333333,2.805191729972046,-0.0001800895164586851
25,1.5,37,0.000946724539649418,-21.979874538510067,0.35135135135135137,2.970372418517769,-0.0001601599999994505
25,2.0,36,0.0004292813548381606,-22.358832712614436,0.16666666666666666,1.714754170559708,-0.00014012324766705765
20,2.0,46,0.0004288749750308876,-25.3793013771275,0.17391304347826086,1.5637454322399813,-0.00022008731028828318
15,2.0,39,0.0006773493849647032,-25.51192952388905,0.3076923076923077,2.253097615282316,-0.00022021999999924448
10,2.5,30,0.000500576827331433,-26.09325740838934,0.3,2.1906589299544095,-0.00010009999999965657
10,1.5,61,0.0015801988542298812,-28.058906516874217,0.47540983606557374,3.466594115618572,-9.999204236150848e-05
20,2.5,25,0.0001414726896585175,-28.648303171330003,0.16,1.3365032340481358,-0.00022014930330352915
20,1.5,48,0.0006165059050426668,-29.90484008234404,0.2916666666666667,1.905720610334764,-0.0001600499690541345
20,1.8,33,0.0002173671887500601,-30.399943300024244,0.18181818181818182,1.4021297013173122,-0.0003201478605957527
15,1.5,55,0.0006676309184212259,-31.454061114981002,0.2909090909090909,1.855081992906102,-0.00024021315741581373
10,1.8,51,0.0006898315722134681,-31.637653403161636,0.3137254901960784,1.9844891854052638,-0.0001400951331304182
10,2.0,68,0.0006635958828720419,-32.81332541288259,0.27941176470588236,1.6764621937980817,-0.0003600141676150664
