trade_id,type,entry_time,entry_price,exit_time,exit_price,exit_reason,position_size,profit,sma_at_entry
1,buy,2024-07-08 11:00:00,1307.2,2024-07-08 14:15:00,1312.9,take_profit,1,5.694300000000045,1311.9299999999998
2,buy,2024-07-09 09:30:00,1306.8,2024-07-09 11:00:00,1312.7,take_profit,1,5.8941000000000905,1311.01
3,buy,2024-07-10 13:15:00,1316.4,2024-07-10 14:00:00,1314.4,stop_loss,1,-2.002,1318.6399999999999
4,buy,2024-07-12 13:00:00,1303.4,2024-07-12 14:15:00,1301.4,stop_loss,1,-2.002,1307.9900000000002
5,buy,2024-07-15 13:30:00,1299.8,2024-07-15 14:00:00,1297.8,stop_loss,1,-2.002,1302.545
6,buy,2024-07-18 11:00:00,1297.0,2024-07-18 13:15:00,1295.0,stop_loss,1,-2.002,1304.36
7,buy,2024-07-18 13:45:00,1291.8,2024-07-18 14:45:00,1297.5,market_close,1,5.694300000000045,1300.77
8,buy,2024-07-22 10:45:00,1295.3,2024-07-22 13:30:00,1293.3,stop_loss,1,-2.002,1300.1
9,buy,2024-07-23 13:30:00,1296.0,2024-07-23 14:15:00,1294.0,stop_loss,1,-2.002,1299.5549999999998
10,buy,2024-07-25 10:15:00,1274.4,2024-07-25 11:00:00,1272.4,stop_loss,1,-2.002,1279.415
11,buy,2024-08-01 13:00:00,1296.9,2024-08-01 13:15:00,1294.9,stop_loss,1,-2.002,1301.125
12,buy,2024-08-05 11:00:00,1244.5,2024-08-05 13:00:00,1242.5,stop_loss,1,-2.002,1261.955
13,buy,2024-08-08 09:45:00,1242.6,2024-08-08 11:00:00,1249.4,take_profit,1,6.793200000000182,1248.6399999999999
14,buy,2024-08-08 13:30:00,1243.1,2024-08-08 14:30:00,1241.1,stop_loss,1,-2.002,1247.62
15,buy,2024-08-15 09:15:00,1268.3,2024-08-15 14:00:00,1266.3,stop_loss,1,-2.002,1270.3
16,buy,2024-08-21 10:15:00,1299.6,2024-08-21 13:00:00,1305.2,take_profit,1,5.594400000000136,1302.46
17,buy,2024-08-23 09:45:00,1311.8,2024-08-23 13:00:00,1313.3,take_profit,1,1.4985,1313.15
18,buy,2024-08-27 11:00:00,1315.6,2024-08-27 13:45:00,1319.0,take_profit,1,3.396600000000091,1318.53
19,buy,2024-09-05 13:45:00,1311.0,2024-09-05 14:15:00,1309.0,stop_loss,1,-2.002,1314.435
